DESC_CE_FINANCIERO,ENTIDAD_FEDERATIVA,LAT,LONG
AGUASCALIENTES,AGUASCALIENTES,21.8875249,102.2970657
TIJUANA,BAJA CALIFORNIA,30.8406,115.2838
TUXTLA GUTIERREZ,CHIAPAS,16.7460768,93.1645893
CHIHUAHUA,CHIHUAHUA,28.633,106.0691
CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,19.4328049,99.1334184
SALTILLO,COAHUILA,27.0587,101.7068
TOLUCA,ESTADO DE MÉXICO,19.29419,99.666233
LEON,GUANAJUATO,21.019,101.2574
PACHUCA,HIDALGO,20.0911,98.7624
JALISCO,JALISCO,20.6595,103.3494
MORELIA,MICHOACÁN,19.5665,101.7068
CUERNAVACA,MORELOS,18.6813,99.1013
MONTERREY,NUEVO LEÓN,25.6720505,100.3097042
PUEBLA,PUEBLA,19.0414,98.2063
QUERETARO,QUERETARO,20.5888,100.3899
CANCUN,QUINTANA ROO,19.1817,88.4791
SAN LUIS POTOSI,SAN LUIS POTOSÍ,22.1565,100.9855
CULIACAN,SINALOA,25.8227,108.2217
HERMOSILLO,SONORA,29.2972,110.3309
CIUDAD VICTORIA,TAMAULIPAS,24.2669,98.8363
JALAPA,VERACRUZ,19.1738,96.1342
MERIDA,YUCATÁN,20.7099,89.0943
TEPIC,NAYARIT,21.501062,104.9119241
